movieId,title,genres,tmdbId,image_url,year
1,Toy Story ,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",862,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg,1995
2,Jumanji ,"['Adventure', 'Children', 'Fantasy']",8844,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/z46R8oShx61gXMrAmd7ptpVqNI0.jpg,1995
3,Grumpier Old Men ,"['Comedy', 'Romance']",15602,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/1FSXpj5e8l4KH6nVFO5SPUeraOt.jpg,1995
4,Waiting to Exhale ,"['Comedy', 'Drama', 'Romance']",31357,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/4wjGMwPsdlvi025ZqR4rXnFDvBz.jpg,1995
5,Father of the Bride Part II ,['Comedy'],11862,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/rj4LBtwQ0uGrpBnCELr716Qo3mw.jpg,1995
6,Heat ,"['Action', 'Crime', 'Thriller']",949,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/obpPQskaVpSiC9RcJRB6iWDTCXS.jpg,1995
7,Sabrina ,"['Comedy', 'Romance']",11860,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/z1oNjotUI7D06J4LWQFQzdIuPnf.jpg,1995
8,Tom and Huck ,"['Adventure', 'Children']",45325,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/vIG8hWOa7DyLMRiurzKwVAnIYoU.jpg,1995
9,Sudden Death ,['Action'],9091,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/1pylO6YX5XdOA6QCc5IRxrrffkg.jpg,1995
10,GoldenEye ,"['Action', 'Adventure', 'Thriller']",710,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/bFzjdy6ucvNlXmJwoSoYfufV6lP.jpg,1995
11,The American President ,"['Comedy', 'Drama', 'Romance']",9087,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/yObOAYFIHXHkFPQ3jhgkN2ezaD.jpg,1995
12,Dracula: Dead and Loving It ,"['Comedy', 'Horror']",12110,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/4rRfZz8YnHNRr16t3CFcJrPdXHi.jpg,1995
13,Balto ,"['Adventure', 'Animation', 'Children']",21032,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/dCVcdb5oxDizqFLz0F7TE60NoC9.jpg,1995
14,Nixon ,['Drama'],10858,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/ORlTkdDwWU94O16MlwfIR4g5Hk.jpg,1995
15,Cutthroat Island ,"['Action', 'Adventure', 'Romance']",1408,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/hYdeBZ4BFXivdouxLfQGWNE6zRx.jpg,1995
16,Casino ,"['Crime', 'Drama']",524,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/znekQtDwXQrll2XYZqXOxncCgLd.jpg,1995
17,Sense and Sensibility ,"['Drama', 'Romance']",4584,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/cBK2yL3HqhFvIVd7lLtazWlRZPR.jpg,1995
18,Four Rooms ,['Comedy'],5,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/75aHn1NOYXh4M7L5shoeQ6NGykP.jpg,1995
19,Ace Ventura: When Nature Calls ,['Comedy'],9273,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/wcinCf1ov2D6M3P7BBZkzQFOiIb.jpg,1995
